,Identifier,code,Required Height before dissociation [m],id,Area [Å2],Time to measure before dissociation [t],URL,Molecular Complexity [-]
0,DNA,7K01,3.3903570778591923,0.0,127195.88354093942,0.0033903570778591923,https://www.rcsb.org/structure/7K01,1897263
1,DNA,3BQ2,20.941740322808023,0.0,20592.34129495469,0.020941740322808024,https://www.rcsb.org/structure/3BQ2,308205
2,DNA,1ZYH,92.92188165437058,0.0,4640.881742382302,0.09292188165437058,https://www.rcsb.org/structure/1ZYH,820530
3,DNA,4G4O,27.507984968835743,0.0,15676.883076900613,0.027507984968835743,https://www.rcsb.org/structure/4G4O,478548
4,DNA,1X9W,11.84594524135155,0.0,36403.97243541332,0.01184594524135155,https://www.rcsb.org/structure/1X9W,586116
5,DNA,5T14,9.519822585715168,0.0,45299.107221248814,0.009519822585715168,https://www.rcsb.org/structure/5T14,727218
6,DNA,1SKS,11.428998565805907,0.0,37732.04288674867,0.011428998565805907,https://www.rcsb.org/structure/1SKS,605718
7,DNA,3GTL,2.868866613206748,0.0,150317.01440993408,0.0028688666132067483,https://www.rcsb.org/structure/3GTL,2545263
8,DNA,424D,31.84675635171275,0.0,13541.079640105483,0.031846756351712746,https://www.rcsb.org/structure/424D,140211
9,DNA,3LFU,15.100054361068777,0.0,28558.80208944192,0.015100054361068777,https://www.rcsb.org/structure/3LFU,515889
10,DNA,3K59,11.252692047157682,0.0,38323.2263204523,0.011252692047157682,https://www.rcsb.org/structure/3K59,658206
11,DNA,1T8I,11.69826704797957,0.0,36863.533912235114,0.01169826704797957,https://www.rcsb.org/structure/1T8I,503658
12,DNA,7KR3,14.037501316884446,0.0,30720.528839336836,0.014037501316884447,https://www.rcsb.org/structure/7KR3,972162
13,DNA,6S2E,5.742878969751121,0.0,75091.16356256175,0.005742878969751121,https://www.rcsb.org/structure/6S2E,1079892
14,DNA,5N60,1.6978845952407293,0.0,253986.3223015081,0.0016978845952407293,https://www.rcsb.org/structure/5N60,4191912
15,DNA,6BKF,14.074020626925797,0.0,30640.81512091499,0.014074020626925797,https://www.rcsb.org/structure/6BKF,851229
16,DNA,3MAQ,11.150002815735109,0.0,38676.17534849441,0.011150002815735109,https://www.rcsb.org/structure/3MAQ,644031
17,DNA,6RAY,1.6114968822995408,0.0,267601.798535419,0.0016114968822995407,https://www.rcsb.org/structure/6RAY,3416661
18,DNA,3C5F,12.45014969138838,0.0,34637.291496652506,0.01245014969138838,https://www.rcsb.org/structure/3C5F,1131246
19,DNA,3S1R,3.0908519846615223,0.0,139521.22786132133,0.0030908519846615224,https://www.rcsb.org/structure/3S1R,4823145
20,DNA,6KNC,3.707184228987178,0.0,116325.33950312859,0.003707184228987178,https://www.rcsb.org/structure/6KNC,1674594
21,DNA,3CWS,7.9403320055776385,0.0,54310.0041326554,0.007940332005577639,https://www.rcsb.org/structure/3CWS,862164
22,DNA,8ICC,22.09937458812139,0.0,19513.650140550697,0.02209937458812139,https://www.rcsb.org/structure/8ICC,328698
23,DNA,6EU0,1.498067389224802,0.0,287863.8618925742,0.001498067389224802,https://www.rcsb.org/structure/6EU0,4248045
24,DNA,8ICT,22.11994059454062,0.0,19495.507331697398,0.02211994059454062,https://www.rcsb.org/structure/8ICT,331290
25,DNA,5YUZ,10.383784847140115,0.0,41530.084683558205,0.010383784847140115,https://www.rcsb.org/structure/5YUZ,1223991
26,DNA,2L8Q,91.3921305379118,0.0,4718.562325874309,0.0913921305379118,https://www.rcsb.org/structure/2L8Q,638199
27,DNA,2L8P,90.96788123201497,0.0,4740.568409389405,0.09096788123201498,https://www.rcsb.org/structure/2L8P,641844
